ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Critical	Error	Variance	Context	Inflection	Resolved
119	184	Mat 	7	12	17	ος	οτος	ουτος	G3778	D-NSM	οὗτος	C	E		Spelling-X	C-E--X	should be ουτοσ	0	1	1	0	0	0	1
120	185	Mat 	7	13	5	πύλις	πυλις	πυλης	G4439	N-GSF	πύλη	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
121	185	Mat 	7	13	13	ρος	ρος	ρος	None	None	None	C	E		Addition-A	C-E--A	repeated η ρος	0	1	1	0	0	0	1
122	185	Mat 	7	13	25	ἐσερχόοι	εσερχομενοι	εισερχομενοι	G1525	V-PNP-NPM	εἰσέρχομαι	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
123	185	Mat 	7	13	26	δʼι	δ'ι	δι	G1223	PREP	διά	PC	V	C	Punctuation-P	PC-V-C-P	atypical apostrophe on δ intead of ι	1	1	0	1	1	0	1
124	187	Mat 	7	15	11	δύμασι	ενδυμασιν	ενδυμασι	G1742	N-DPN	ἔνδυμα	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
125	189	Mat 	7	17	3	δέδρομ	δενδρομ	δενδρον	G1186	N-NSN	δένδρον	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
126	190	Mat 	7	18	2	δαα	δαυναται	δυναται	G1410	V-PNI-3S	δύναμαι	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
127	190	Mat 	7	18	11	καρ	καρ	καρπους	G2590	N-APM	καρπός	P	E		Spacing-Y	P-E--Y	None	1	0	1	0	0	0	1
128	193	Mat 	7	21	14	ἀλλʼ	αλλ'	αλλ	G235	CONJ	ἀλλά	P	V	C	Punctuation-P	P-V-C-P	None	1	0	0	1	1	0	1
129	193	Mat 	7	21	24	ὀυρονοῖς	ουρονοις	ουρανοις	G3772	N-DPM	οὐρανός	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
130	194	Mat 	7	22	5	ἐκείμῃ	εκειμη	εκεινη	G1565	D-DSF	ἐκεῖνος				None	---e	None	0	0	0	0	0	0	1
131	195	Mat 	7	23	10	ἀϖʼ	απ'	απ	G575	PREP	ἀπό	PC	V		Punctuation-P	PC-V--P	None	1	1	0	1	0	0	1
132	197	Mat 	7	25	14	οσέπεσα	προσεπεσαν	προσεπεσον	G4363	V-2AAI-3P	προσπίπτω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
133	198	Mat 	7	26	13	ὁμιωθήσε	ομιωθησεται	ομοιωθησεται	G3666	V-FPI-3S	ὁμοιόω	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
134	198	Mat 	7	26	18	ᾠοκοδόμησε	ωοκοδομησεν	ωκοδομησεν	G3618	V-AAI-3S	οἰκοδομέω	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
135	201	Mat 	7	29	6	ονσία	εξονσιαν	εξουσιαν	G1849	N-ASF	ἐξουσία	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
136	201	Mat 	7	29	9	ὀυχ͗	ουχ'	ουχ	G3756	PRT-N	οὐ	PC	V	I	Punctuation-P	PC-V-I-P	None	1	1	0	1	0	1	1
137	203	Mat 	8	2	3	λεὸσἐλϑὼ	λεπροσελθων	λεπρος	G3015	A-NSM	λεπρός	C	E		Spacing-Y	C-E--Y	two words λεπ ελθων	0	1	1	0	0	0	1
138	204	Mat 	8	3	14	ἐκαθερίη	εκαθερισθη	εκαθαρισθη	G2511	V-API-3S	καθαρίζω	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
139	210	Mat 	8	9	9	ὑπ͗	υπ'	υπ	G5259	PREP	ὑπό	P	V	C	Diacritic-D	P-V-C-D	None	1	0	0	1	1	0	1
140	211	Mat 	8	10	4	ΙΗΣΟΣ	ιησος	ιησους	G2424	N-NSM	Ἰησοῦς	PC	V		Spelling-X	PC-V--X	None	1	1	0	1	0	0	1
141	211	Mat 	8	10	19	σάυην	σαυτην	τοσαυτην	G5118	D-ASF	τοσοῦτος	C	E		Spacing-Y	C-E--Y	end of line spacing	0	1	1	0	0	0	1
142	213	Mat 	8	12	6	ἐκϐληθήσν	εκβληθησνται	εκβληθησονται	G1544	V-FPI-3P	ἐκβάλλω	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
143	213	Mat 	8	12	9	σκότ	σκοτ	σκοτος	G4655	N-NSN	σκότος	PC	V	I	Punctuation-P	PC-V-I-P	None	1	1	0	1	0	1	1
144	213	Mat 	8	12	10	̊	̊	σκοτος	G4655	N-NSN	σκότος	PC	V		Punctuation-P	PC-V--P	σκότ ̊	1	1	0	1	0	0	1
145	213	Mat 	8	12	16	κλαυθμ	κλαυθμ	κλαυθμος	G2805	N-NSM	κλαυθμός	PC	V	I	Punctuation-P	PC-V-I-P	κλαυθμ ̊̀	1	1	0	1	0	1	1
146	213	Mat 	8	12	17	̊̀	̊̀	κλαυθμος	G2805	N-NSM	κλαυθμός	PC	V	I	Punctuation-P	PC-V-I-P	κλαυθμ ̊̀	1	1	0	1	0	1	1
