Line	Book	Chapter	Verse
1063	Mat	28	12
1064	Mat	28	13
1065	Mat	28	14
1066	Mat	28	15
1067	Mat	28	16
1068	Mat	28	17
1069	Mat	28	18
1070	Mat	28	19
1071	Mat	28	20
1072	Mar	1	1
1073	Mar	1	2
1074	Mar	1	3
1075	Mar	1	4
1076	Mar	1	5
1077	Mar	1	6
1078	Mar	1	7
1079	Mar	1	8
1080	Mar	1	9
1081	Mar	1	10
1082	Mar	1	11
1083	Mar	1	12
1084	Mar	1	13
1085	Mar	1	14
1086	Mar	1	15
1087	Mar	1	16
1088	Mar	1	17
1089	Mar	1	18
1090	Mar	1	19
1091	Mar	1	20
1092	Mar	1	21
1093	Mar	1	22
1094	Mar	1	23
1095	Mar	1	24
1096	Mar	1	25
1097	Mar	1	26
1098	Mar	1	27
1099	Mar	1	28
1100	Mar	1	29
1101	Mar	1	30
1102	Mar	1	31
1103	Mar	1	32
1104	Mar	1	33
1105	Mar	1	34
1106	Mar	1	35
1107	Mar	1	36
1108	Mar	1	37
1109	Mar	1	38
1110	Mar	1	39
1111	Mar	1	40
1112	Mar	1	41
1113	Mar	1	42
1114	Mar	1	43
1115	Mar	1	44
1116	Mar	1	45
1117	Mar	2	1
1118	Mar	2	2
1119	Mar	2	3
1120	Mar	2	4
1121	Mar	2	5
1122	Mar	2	6
1123	Mar	2	7
1124	Mar	2	8
1125	Mar	2	9
1126	Mar	2	10
1127	Mar	2	11
1128	Mar	2	12
1129	Mar	2	13
1130	Mar	2	14
1131	Mar	2	15
1132	Mar	2	16
1133	Mar	2	17
1134	Mar	2	18
1135	Mar	2	19
1136	Mar	2	20
1137	Mar	2	21
1138	Mar	2	22
1139	Mar	2	23
1140	Mar	2	24
1141	Mar	2	25
1142	Mar	2	26
1143	Mar	2	27
1144	Mar	2	28
1145	Mar	3	1
1146	Mar	3	2
1147	Mar	3	3
1148	Mar	3	4
1149	Mar	3	5
1150	Mar	3	6
1151	Mar	3	7
1152	Mar	3	8
1153	Mar	3	9
1154	Mar	3	10
1155	Mar	3	11
1156	Mar	3	12
1157	Mar	3	13
1158	Mar	3	14
1159	Mar	3	15
1160	Mar	3	16
1161	Mar	3	17
1162	Mar	3	18
1163	Mar	3	19
1164	Mar	3	20
1165	Mar	3	21
1166	Mar	3	22
1167	Mar	3	23
1168	Mar	3	24
1169	Mar	3	25
1170	Mar	3	26
1171	Mar	3	27
1172	Mar	3	28
1173	Mar	3	29
1174	Mar	3	30
1175	Mar	3	31
1176	Mar	3	32
1177	Mar	3	33
1178	Mar	3	34
1179	Mar	3	35
1180	Mar	4	1
1181	Mar	4	2
1182	Mar	4	3
1183	Mar	4	4
1184	Mar	4	5
1185	Mar	4	6
1186	Mar	4	7
1187	Mar	4	8
1188	Mar	4	9
1189	Mar	4	10
1190	Mar	4	11
1191	Mar	4	12
1192	Mar	4	13
1193	Mar	4	14
1194	Mar	4	15
1195	Mar	4	16
1196	Mar	4	17
1197	Mar	4	18
1198	Mar	4	19
1199	Mar	4	20
1200	Mar	4	21
1201	Mar	4	22
1202	Mar	4	23
1203	Mar	4	24
1204	Mar	4	25
1205	Mar	4	26
1206	Mar	4	27
1207	Mar	4	28
1208	Mar	4	29
1209	Mar	4	30
1210	Mar	4	31
1211	Mar	4	32
1212	Mar	4	33
1213	Mar	4	34
1214	Mar	4	35
1215	Mar	4	36
1216	Mar	4	37
1217	Mar	4	38
1218	Mar	4	39
1219	Mar	4	40
1220	Mar	4	41
1221	Mar	5	1
1222	Mar	5	2
1223	Mar	5	3
1224	Mar	5	4
1225	Mar	5	5
1226	Mar	5	6
1227	Mar	5	7
1228	Mar	5	8
1229	Mar	5	9
1230	Mar	5	10
1231	Mar	5	11
1232	Mar	5	12
1233	Mar	5	13
1234	Mar	5	14
1235	Mar	5	15
1236	Mar	5	16
1237	Mar	5	17
1238	Mar	5	18
1239	Mar	5	19
1240	Mar	5	20
1241	Mar	5	21
1242	Mar	5	22
1243	Mar	5	23
1244	Mar	5	24
1245	Mar	5	25
1246	Mar	5	26
1247	Mar	5	27
1248	Mar	5	28
1249	Mar	5	29
1250	Mar	5	30
1251	Mar	5	31
1252	Mar	5	32
1253	Mar	5	33
1254	Mar	5	34
1255	Mar	5	35
1256	Mar	5	36
1257	Mar	5	37
1258	Mar	5	38
1259	Mar	5	39
1260	Mar	5	40
1261	Mar	5	41
1262	Mar	5	42
1263	Mar	5	43
1264	Mar	6	1
1265	Mar	6	2
1266	Mar	6	3
1267	Mar	6	4
1268	Mar	6	5
1269	Mar	6	6
1270	Mar	6	7
1271	Mar	6	8
1272	Mar	6	9
1273	Mar	6	10
1274	Mar	6	11
1275	Mar	6	12
1276	Mar	6	13
1277	Mar	6	14
1278	Mar	6	15
1279	Mar	6	16
1280	Mar	6	17
1281	Mar	6	18
1282	Mar	6	19
1283	Mar	6	20
1284	Mar	6	21
1285	Mar	6	22
1286	Mar	6	23
1287	Mar	6	24
1288	Mar	6	25
1289	Mar	6	26
1290	Mar	6	27
1291	Mar	6	28
1292	Mar	6	29
